간체자,한어병음,뜻
叫,jiào,부르다 / ~라고 하다
什么,shénme,무엇 / 무슨
名字,míngzi,이름
呢,ne,~은요? / ~는요?
认识,rènshi,알다 / 알게 되다
很,hěn,매우
高兴,gāoxìng,기쁘다
也,yě,~도 / 또한
找,zhǎo,찾다
手机,shǒujī,휴대 전화
爱,ài,사랑하다
忙,máng,바쁘다
她,tā,그녀
漂亮,piàoliang,예쁘다
贵姓,guìxìng,성함이 어떻게 되세요
姓,xìng,성이 ~이다
他,tā,그
是,shì,~이다 / 네[대답]
哪,nǎ,어느
国,guó,나라
人,rén,사람
韩国,Hánguó,한국[국명]
吗,ma,~입니까
中国,Zhōngguó,중국[국명]
美国,Měiguó,미국[국명]
外国,wàiguó,외국
学生,xuésheng,학생
意大利,Yìdàlì,이탈리아[국명]
德国,Déguó,독일[국명]
饿,è,배고프다
累,lèi,피곤하다
开心,kāixīn,기쁘다 / 즐겁다
巴西,Bāxī,브라질[국명]
印度,Yìndù,인도[국명]
西班牙,Xībānyá,스페인[국명]
